frame,time_s,cls_name,conf,x1,y1,x2,y2
0,0.000000,person,0.615979,317.11,67.34,396.73,300.16
0,0.000000,person,0.606626,408.52,90.88,462.16,288.71
1,0.040000,person,0.616091,317.10,67.33,396.74,300.16
1,0.040000,person,0.606549,408.53,90.89,462.15,288.70
2,0.080000,person,0.635276,316.82,67.39,396.81,300.03
2,0.080000,person,0.628695,408.66,90.73,462.03,289.30
3,0.120000,person,0.641639,316.59,67.58,396.81,300.12
3,0.120000,person,0.633230,408.34,91.74,461.58,289.20
4,0.160000,person,0.657890,316.36,67.28,396.39,300.02
4,0.160000,person,0.652410,407.87,91.28,461.89,290.61
5,0.200000,person,0.646062,406.25,87.86,461.92,293.61
5,0.200000,person,0.624215,316.63,67.35,396.53,299.78
6,0.240000,person,0.658986,408.21,92.11,461.21,288.81
6,0.240000,person,0.614813,316.68,67.19,396.40,299.71
7,0.280000,person,0.655874,408.07,92.13,461.35,290.48
7,0.280000,person,0.632310,316.34,66.90,396.13,299.68
8,0.320000,person,0.658884,407.89,92.69,461.16,290.21
8,0.320000,person,0.622481,316.59,66.66,395.82,299.38
9,0.360000,person,0.646935,408.13,92.71,460.71,291.52
9,0.360000,person,0.607398,316.45,67.03,396.00,299.09
10,0.400000,person,0.656749,316.06,66.94,395.95,299.40
10,0.400000,person,0.638202,408.15,93.22,460.50,291.12
11,0.440000,person,0.655534,408.08,93.61,460.61,290.50
11,0.440000,person,0.635221,316.28,67.66,395.80,299.57
12,0.480000,person,0.630748,408.01,93.73,460.50,289.97
12,0.480000,person,0.628753,316.33,67.39,395.26,299.72
13,0.520000,person,0.646774,408.25,93.70,460.02,290.94
13,0.520000,person,0.627239,316.01,67.19,395.32,299.37
14,0.560000,person,0.654273,316.16,66.89,395.50,299.57
14,0.560000,person,0.620181,408.38,93.92,459.35,292.39
15,0.600000,person,0.627605,406.31,89.86,459.47,291.30
15,0.600000,person,0.602911,315.87,66.89,393.75,299.50
16,0.640000,person,0.620764,405.56,91.20,459.54,291.30
16,0.640000,person,0.558166,316.11,66.41,393.29,299.13
17,0.680000,person,0.640739,404.89,90.84,459.91,287.85
17,0.680000,person,0.538088,315.15,67.41,392.33,298.55
18,0.720000,person,0.688151,405.02,89.86,460.05,287.96
18,0.720000,person,0.519125,315.01,67.52,391.94,298.45
19,0.760000,person,0.683978,404.69,89.41,459.90,287.64
19,0.760000,person,0.530115,315.05,67.36,392.34,298.43
20,0.800000,person,0.675797,404.23,90.27,460.01,289.50
20,0.800000,person,0.526504,314.76,67.26,391.25,298.24
21,0.840000,person,0.682481,404.35,90.17,460.21,290.39
21,0.840000,person,0.484676,314.58,67.56,390.66,298.13
22,0.880000,person,0.683482,404.44,89.48,460.46,289.56
22,0.880000,person,0.488099,314.56,67.96,390.76,297.79
23,0.920000,person,0.715214,404.62,89.37,459.80,290.07
23,0.920000,person,0.457246,314.72,68.45,390.83,297.64
24,0.960000,person,0.694518,404.07,90.43,460.04,289.81
24,0.960000,person,0.447651,314.12,68.45,389.64,298.00
25,1.000000,person,0.702469,404.90,89.13,459.61,291.75
25,1.000000,person,0.420965,314.18,68.71,389.40,297.87
26,1.040000,person,0.725444,404.71,89.54,459.67,289.25
26,1.040000,person,0.416222,314.07,68.76,389.17,297.81
27,1.080000,person,0.727317,404.84,90.42,459.66,290.08
27,1.080000,person,0.411343,314.05,68.73,389.27,297.84
28,1.120000,person,0.735139,404.63,90.47,459.92,290.97
28,1.120000,person,0.438267,313.70,68.55,389.16,297.87
29,1.160000,person,0.712113,405.54,90.68,459.27,291.10
29,1.160000,person,0.431030,313.24,68.31,388.33,297.61
30,1.200000,person,0.705376,405.44,89.38,458.79,291.16
30,1.200000,person,0.409597,312.62,67.94,387.65,297.39
30,1.200000,person,0.260454,338.84,100.10,388.11,292.90
31,1.240000,person,0.696810,405.64,89.11,459.11,290.20
31,1.240000,person,0.400424,312.86,68.36,388.02,297.36
31,1.240000,person,0.257013,339.09,99.25,388.43,292.62
32,1.280000,person,0.686114,405.32,91.23,459.19,290.21
32,1.280000,person,0.414899,312.65,67.73,387.73,297.47
33,1.320000,person,0.679981,405.28,92.51,459.44,291.35
33,1.320000,person,0.387647,312.19,67.21,386.18,297.48
33,1.320000,person,0.285809,336.62,90.71,391.92,289.99
34,1.360000,person,0.693724,404.86,92.36,459.66,292.68
34,1.360000,person,0.407226,311.51,66.90,385.69,297.72
34,1.360000,person,0.275672,336.46,89.91,392.02,289.81
35,1.400000,person,0.688391,404.06,92.05,460.24,293.96
35,1.400000,person,0.413043,311.51,66.97,385.71,297.69
35,1.400000,person,0.277582,338.68,95.98,388.29,291.35
36,1.440000,person,0.683805,405.88,94.95,458.29,291.94
36,1.440000,person,0.415448,311.02,66.88,386.12,297.82
36,1.440000,person,0.270711,339.04,96.67,388.75,291.12
37,1.480000,person,0.646794,405.38,94.78,458.71,294.02
37,1.480000,person,0.446773,311.02,66.61,385.72,298.03
37,1.480000,person,0.260933,338.39,97.73,388.23,291.31
38,1.520000,person,0.625743,405.23,96.25,458.91,294.37
38,1.520000,person,0.447526,310.85,66.37,385.60,297.95
38,1.520000,person,0.269856,337.98,98.12,388.05,291.02
39,1.560000,person,0.622649,404.73,94.47,458.86,293.79
39,1.560000,person,0.442701,310.65,66.25,385.24,297.94
39,1.560000,person,0.274554,337.83,97.14,387.83,291.19
40,1.600000,person,0.595232,405.22,95.57,458.54,293.07
40,1.600000,person,0.453836,310.92,66.40,385.62,298.15
40,1.600000,person,0.287141,337.91,98.02,387.90,291.37
41,1.640000,person,0.606035,404.82,94.79,458.86,293.96
41,1.640000,person,0.450078,310.88,66.17,385.46,298.18
41,1.640000,person,0.290234,337.87,97.35,387.69,291.57
42,1.680000,person,0.601747,403.60,92.69,459.52,294.27
42,1.680000,person,0.493350,310.92,66.74,386.08,298.44
42,1.680000,person,0.278042,337.57,95.83,387.79,292.05
43,1.720000,person,0.631679,404.35,92.57,459.55,292.26
