frame,time_s,cls_name,conf,x1,y1,x2,y2
128,5.120000,tie,0.276874,85.00,0.00,160.00,360.00
163,6.520000,tie,0.260412,323.00,116.00,345.00,272.00
181,7.240000,tie,0.308703,323.00,70.00,376.00,255.00
273,10.920000,tie,0.294647,271.00,81.00,312.00,186.00
288,11.520000,tie,0.476905,311.00,138.00,375.00,184.00
291,11.640000,tie,0.459083,277.00,87.00,317.00,157.00
346,13.840000,brace,0.310716,335.00,82.00,367.00,171.00
357,14.280000,tie,0.276114,404.00,158.00,443.00,264.00
358,14.320000,tie,0.381552,405.00,158.00,443.00,264.00
359,14.360000,tie,0.258820,407.00,158.00,442.00,264.00
369,14.760000,tie,0.261104,374.00,84.00,420.00,148.00
370,14.800000,tie,0.316025,374.00,84.00,420.00,148.00
371,14.840000,tie,0.323264,374.00,84.00,419.00,148.00
372,14.880000,tie,0.259846,374.00,84.00,419.00,147.00
373,14.920000,tie,0.348606,374.00,84.00,420.00,148.00
374,14.960000,tie,0.315438,374.00,84.00,420.00,148.00
375,15.000000,tie,0.316984,374.00,84.00,420.00,148.00
376,15.040000,tie,0.445739,378.00,84.00,420.00,148.00
378,15.120000,tie,0.278601,375.00,84.00,420.00,147.00
379,15.160000,tie,0.282640,375.00,84.00,420.00,147.00
380,15.200000,tie,0.260610,375.00,84.00,420.00,146.00
385,15.400000,tie,0.353442,407.00,157.00,437.00,262.00
444,17.760000,tie,0.260222,322.00,67.00,361.00,149.00
445,17.800000,tie,0.268876,322.00,67.00,361.00,149.00
446,17.840000,tie,0.292909,321.00,67.00,361.00,149.00
466,18.640000,tie,0.306972,400.00,85.00,444.00,262.00
467,18.680000,tie,0.261920,400.00,85.00,444.00,262.00
468,18.720000,tie,0.479191,401.00,86.00,444.00,262.00
469,18.760000,tie,0.339984,327.00,66.00,359.00,144.00
471,18.840000,tie,0.382940,402.00,86.00,447.00,263.00
472,18.880000,tie,0.271778,402.00,86.00,446.00,263.00
473,18.920000,tie,0.381619,402.00,86.00,447.00,263.00
474,18.960000,tie,0.347044,403.00,86.00,447.00,263.00
482,19.280000,tie,0.328939,296.00,97.00,350.00,172.00
493,19.720000,tie,0.538808,290.00,67.00,337.00,206.00
496,19.840000,tie,0.266121,262.00,90.00,301.00,137.00
498,19.920000,tie,0.467852,402.00,86.00,442.00,175.00
507,20.280000,tie,0.700167,414.00,146.00,446.00,213.00
510,20.400000,tie,0.320333,301.00,68.00,337.00,246.00
515,20.600000,tie,0.351714,313.00,68.00,338.00,145.00
517,20.680000,tie,0.297282,403.00,123.00,440.00,149.00
527,21.080000,tie,0.270446,404.00,177.00,443.00,226.00
531,21.240000,tie,0.252398,304.00,66.00,340.00,175.00
589,23.560000,tie,0.351775,296.00,67.00,354.00,175.00
591,23.640000,tie,0.292715,306.00,67.00,354.00,161.00
612,24.480000,tie,0.432543,399.00,87.00,436.00,141.00
615,24.600000,tie,0.720589,394.00,88.00,436.00,141.00
616,24.640000,tie,0.330432,392.00,87.00,436.00,156.00
617,24.680000,tie,0.267121,389.00,88.00,437.00,156.00
632,25.280000,tie,0.334223,319.00,64.00,353.00,120.00
633,25.320000,tie,0.350201,319.00,65.00,353.00,120.00
634,25.360000,tie,0.432309,318.00,66.00,353.00,121.00
635,25.400000,tie,0.497911,317.00,66.00,353.00,121.00
636,25.440000,tie,0.593375,317.00,66.00,353.00,122.00
637,25.480000,tie,0.515082,317.00,65.00,353.00,122.00
638,25.520000,tie,0.452053,317.00,65.00,353.00,121.00
639,25.560000,tie,0.455270,317.00,65.00,353.00,121.00
641,25.640000,tie,0.254085,316.00,66.00,353.00,118.00
643,25.720000,tie,0.374631,316.00,65.00,353.00,120.00
644,25.760000,tie,0.335096,316.00,65.00,353.00,118.00
645,25.800000,tie,0.279441,317.00,66.00,353.00,118.00
646,25.840000,tie,0.270186,317.00,66.00,353.00,118.00
647,25.880000,tie,0.296544,317.00,66.00,353.00,118.00
647,25.880000,tie,0.331209,392.00,113.00,435.00,148.00
649,25.960000,tie,0.348085,319.00,65.00,353.00,118.00
650,26.000000,tie,0.385684,319.00,65.00,353.00,118.00
651,26.040000,brace,0.349070,319.00,65.00,353.00,118.00
652,26.080000,brace,0.331357,319.00,65.00,353.00,118.00
655,26.200000,tie,0.295031,397.00,89.00,436.00,140.00
