frame,time_s,cls_name,conf,x1,y1,x2,y2
160,6.400000,ladder,0.491052,161.00,67.00,379.00,360.00
161,6.440000,ladder,0.491052,161.00,67.00,379.00,360.00
162,6.480000,ladder,0.491052,161.00,67.00,379.00,360.00
163,6.520000,ladder,0.491052,161.00,67.00,379.00,360.00
164,6.560000,ladder,0.491052,161.00,67.00,379.00,360.00
165,6.600000,ladder,0.491052,161.00,67.00,379.00,360.00
166,6.640000,ladder,0.491052,161.00,67.00,379.00,360.00
167,6.680000,ladder,0.491052,161.00,67.00,379.00,360.00
168,6.720000,ladder,0.491052,161.00,67.00,379.00,360.00
169,6.760000,ladder,0.491052,161.00,67.00,379.00,360.00
170,6.800000,ladder,0.491052,161.00,67.00,379.00,360.00
171,6.840000,ladder,0.491052,161.00,67.00,379.00,360.00
172,6.880000,ladder,0.491052,161.00,67.00,379.00,360.00
173,6.920000,ladder,0.491052,161.00,67.00,379.00,360.00
174,6.960000,ladder,0.491052,161.00,67.00,379.00,360.00
175,7.000000,ladder,0.491052,161.00,67.00,379.00,360.00
176,7.040000,ladder,0.491052,161.00,67.00,379.00,360.00
177,7.080000,ladder,0.491052,161.00,67.00,379.00,360.00
178,7.120000,ladder,0.491052,161.00,67.00,379.00,360.00
179,7.160000,ladder,0.491052,161.00,67.00,379.00,360.00
180,7.200000,ladder,0.491052,161.00,67.00,379.00,360.00
181,7.240000,ladder,0.491052,161.00,67.00,379.00,360.00
182,7.280000,ladder,0.491052,161.00,67.00,379.00,360.00
183,7.320000,ladder,0.491052,161.00,67.00,379.00,360.00
184,7.360000,ladder,0.491052,161.00,67.00,379.00,360.00
185,7.400000,ladder,0.491052,161.00,67.00,379.00,360.00
186,7.440000,ladder,0.491052,161.00,67.00,379.00,360.00
187,7.480000,ladder,0.491052,161.00,67.00,379.00,360.00
188,7.520000,ladder,0.491052,161.00,67.00,379.00,360.00
189,7.560000,ladder,0.491052,161.00,67.00,379.00,360.00
190,7.600000,ladder,0.491052,161.00,67.00,379.00,360.00
191,7.640000,ladder,0.491052,161.00,67.00,379.00,360.00
