frame,time_s,track_id,cls_id,cls_name,conf,x1,y1,x2,y2
30,1.001000,33,0,person,0.744931,261.46,145.83,303.96,314.72
30,1.001000,197,0,person,0.828081,181.80,154.29,294.66,317.38
30,1.001000,360,0,person,0.809622,178.40,147.16,221.66,321.99
31,1.034367,369,2,helmet,0.725976,227.63,154.71,249.10,171.09
31,1.034367,370,2,helmet,0.708686,182.48,147.73,207.43,164.77
31,1.034367,371,2,helmet,0.691125,288.22,140.50,309.51,161.42
31,1.034367,372,0,person,0.641791,295.94,151.33,336.36,307.78
31,1.034367,373,2,helmet,0.619870,267.45,146.37,287.71,161.71
31,1.034367,374,2,helmet,0.639320,296.69,151.91,319.18,168.26
31,1.034367,375,2,helmet,0.571155,108.39,169.33,124.49,182.49
31,1.034367,33,0,person,0.724051,261.27,146.68,304.32,314.97
31,1.034367,197,0,person,0.828756,187.61,154.24,287.06,317.53
31,1.034367,360,0,person,0.799334,177.81,147.84,221.99,322.55
32,1.067733,369,2,helmet,0.739345,227.25,154.97,248.59,171.24
32,1.067733,370,2,helmet,0.714635,182.13,148.01,206.80,164.87
32,1.067733,371,2,helmet,0.666576,288.41,140.61,309.72,161.54
32,1.067733,372,0,person,0.590772,295.82,151.36,336.31,308.17
32,1.067733,373,2,helmet,0.651116,267.22,146.66,288.30,162.62
32,1.067733,374,2,helmet,0.627918,296.82,151.99,319.11,168.20
32,1.067733,375,2,helmet,0.593198,108.50,169.27,124.41,182.26
32,1.067733,33,0,person,0.699962,261.08,147.17,304.49,315.15
32,1.067733,197,0,person,0.811436,191.62,154.53,282.16,317.46
32,1.067733,360,0,person,0.776637,177.41,148.36,222.20,322.96
33,1.101100,369,2,helmet,0.728420,226.33,155.22,248.54,172.17
33,1.101100,370,2,helmet,0.704378,181.38,147.95,206.81,165.37
33,1.101100,371,2,helmet,0.667890,288.49,140.49,310.20,161.83
33,1.101100,372,0,person,0.603351,295.61,151.33,336.19,308.69
33,1.101100,373,2,helmet,0.621747,267.25,146.77,288.44,162.81
33,1.101100,374,2,helmet,0.638314,297.10,152.00,319.32,168.13
33,1.101100,375,2,helmet,0.586378,108.50,168.97,124.48,182.02
33,1.101100,33,0,person,0.719193,260.94,147.23,304.67,315.40
33,1.101100,197,0,person,0.814969,194.36,154.72,278.84,317.65
33,1.101100,360,0,person,0.797938,176.93,148.34,222.29,323.28
33,1.101100,380,76,gloves,0.393718,311.37,219.72,322.29,228.34
34,1.134467,369,2,helmet,0.732630,225.71,155.45,248.33,172.75
34,1.134467,370,2,helmet,0.708497,181.57,148.58,206.45,165.65
34,1.134467,371,2,helmet,0.680270,288.70,140.45,310.52,161.94
34,1.134467,372,0,person,0.527101,296.51,151.50,337.05,308.61
34,1.134467,373,2,helmet,0.611344,267.41,146.81,288.78,162.98
34,1.134467,374,2,helmet,0.631096,297.30,151.99,319.51,168.09
34,1.134467,375,2,helmet,0.573585,108.74,168.81,124.52,181.68
34,1.134467,33,0,person,0.701100,260.79,147.11,304.78,315.49
34,1.134467,197,0,person,0.802389,196.55,154.94,276.43,317.70
34,1.134467,360,0,person,0.775806,176.67,148.81,222.29,323.38
34,1.134467,380,76,gloves,0.473615,311.02,220.19,321.67,228.59
35,1.167833,369,2,helmet,0.735784,225.28,155.80,247.74,172.99
35,1.167833,370,2,helmet,0.685447,181.48,148.68,206.42,165.87
35,1.167833,371,2,helmet,0.654921,289.14,140.62,310.98,162.16
35,1.167833,372,0,person,0.566915,295.77,151.42,336.26,308.80
35,1.167833,373,2,helmet,0.630605,267.01,146.80,288.31,162.96
35,1.167833,374,2,helmet,0.645559,297.40,151.99,319.07,167.64
35,1.167833,375,2,helmet,0.572127,109.01,168.64,124.63,181.37
35,1.167833,33,0,person,0.663116,260.53,146.70,304.84,315.62
35,1.167833,197,0,person,0.786414,198.39,155.29,274.72,317.77
35,1.167833,360,0,person,0.781566,176.47,148.93,222.39,323.36
35,1.167833,380,76,gloves,0.425402,310.52,220.23,321.43,228.83
36,1.201200,369,2,helmet,0.725548,224.66,156.10,247.28,173.47
36,1.201200,370,2,helmet,0.613310,181.40,148.93,205.97,165.97
36,1.201200,371,2,helmet,0.653088,289.59,140.67,311.22,162.01
36,1.201200,372,0,person,0.582451,295.56,151.59,335.88,308.90
36,1.201200,373,2,helmet,0.625412,267.26,147.02,287.94,162.74
36,1.201200,374,2,helmet,0.652394,297.73,152.09,319.09,167.43
36,1.201200,375,2,helmet,0.622285,109.02,168.51,124.67,181.27
36,1.201200,33,0,person,0.677326,260.43,146.64,304.94,315.71
36,1.201200,197,0,person,0.796566,199.69,155.56,273.20,318.00
36,1.201200,360,0,person,0.810291,176.08,149.04,222.30,323.63
36,1.201200,380,76,gloves,0.453091,309.97,220.52,321.27,229.41
37,1.234567,369,2,helmet,0.705762,224.15,156.64,246.77,174.06
37,1.234567,370,2,helmet,0.629521,181.37,149.31,205.57,166.19
37,1.234567,371,2,helmet,0.637547,289.64,140.86,311.59,162.57
37,1.234567,372,0,person,0.614528,295.32,151.77,335.71,309.76
37,1.234567,373,2,helmet,0.626816,267.58,147.30,288.42,163.17
37,1.234567,374,2,helmet,0.619184,297.31,152.24,319.15,167.85
37,1.234567,375,2,helmet,0.601841,108.76,168.33,124.59,181.24
37,1.234567,33,0,person,0.699769,260.13,146.75,304.89,316.07
37,1.234567,197,0,person,0.785178,200.59,156.02,271.67,318.22
37,1.234567,360,0,person,0.817481,175.54,149.33,222.07,324.26
37,1.234567,380,76,gloves,0.519458,309.56,220.75,321.11,229.85
38,1.267933,369,2,helmet,0.709230,223.93,157.15,246.39,174.50
38,1.267933,370,2,helmet,0.584553,181.69,149.80,205.14,166.23
38,1.267933,371,2,helmet,0.649996,289.85,141.29,311.58,162.79
38,1.267933,372,0,person,0.592792,295.09,152.01,335.26,310.07
38,1.267933,373,2,helmet,0.655156,268.03,147.69,288.57,163.33
38,1.267933,374,2,helmet,0.636118,297.09,152.40,319.43,168.30
38,1.267933,375,2,helmet,0.601399,108.70,168.27,124.60,181.21
38,1.267933,33,0,person,0.711245,259.77,147.04,304.76,316.38
38,1.267933,197,0,person,0.796262,201.56,156.51,270.68,318.50
38,1.267933,360,0,person,0.819515,175.21,149.77,221.88,324.67
38,1.267933,380,76,gloves,0.487930,309.39,220.74,321.63,230.45
39,1.301300,369,2,helmet,0.714124,223.60,157.72,246.05,175.10
39,1.301300,370,2,helmet,0.552495,181.24,150.17,205.38,167.23
39,1.301300,371,2,helmet,0.640734,290.07,141.85,311.59,163.15
39,1.301300,372,0,person,0.614445,294.87,152.92,334.75,310.65
39,1.301300,373,2,helmet,0.645556,268.99,148.09,289.10,163.31
39,1.301300,374,2,helmet,0.631289,296.89,152.80,319.34,168.70
39,1.301300,375,2,helmet,0.588614,108.66,168.17,124.57,181.13
39,1.301300,33,0,person,0.697443,259.53,147.39,304.77,316.78
39,1.301300,197,0,person,0.785380,202.35,157.01,269.88,318.92
39,1.301300,360,0,person,0.822753,175.04,150.11,221.92,325.27
39,1.301300,380,76,gloves,0.466983,308.55,221.03,321.09,231.04
40,1.334667,369,2,helmet,0.714831,223.39,158.25,245.61,175.48
40,1.334667,370,2,helmet,0.519333,180.90,150.70,205.31,168.09
40,1.334667,371,2,helmet,0.627924,290.19,142.21,311.74,163.59
40,1.334667,372,0,person,0.635040,295.06,153.59,334.48,310.30
40,1.334667,373,2,helmet,0.632429,269.16,148.19,289.64,163.70
40,1.334667,374,2,helmet,0.595075,297.03,153.21,319.33,168.94
40,1.334667,375,2,helmet,0.607559,108.29,168.02,124.37,181.07
40,1.334667,33,0,person,0.701558,259.01,147.70,304.66,317.35
40,1.334667,197,0,person,0.791546,202.89,157.75,269.03,319.18
40,1.334667,360,0,person,0.825216,174.66,150.55,221.64,325.61
40,1.334667,380,76,gloves,0.543726,307.57,221.49,320.25,231.60
41,1.368033,369,2,helmet,0.702749,223.15,158.79,245.17,175.87
41,1.368033,370,2,helmet,0.598627,180.56,151.06,205.21,168.77
41,1.368033,371,2,helmet,0.558848,290.85,142.67,311.74,163.32
41,1.368033,372,0,person,0.650803,294.88,154.37,334.08,311.00
41,1.368033,373,2,helmet,0.639112,269.46,148.50,290.09,164.12
41,1.368033,374,2,helmet,0.646847,297.04,153.76,319.17,169.26
41,1.368033,375,2,helmet,0.635082,107.82,168.02,124.20,181.25
41,1.368033,33,0,person,0.715528,258.83,147.98,304.82,317.74
41,1.368033,197,0,person,0.805584,203.30,158.40,268.33,319.52
41,1.368033,360,0,person,0.834825,174.07,150.87,221.19,326.01
41,1.368033,380,76,gloves,0.558213,306.95,222.11,319.56,232.18
42,1.401400,369,2,helmet,0.715759,223.07,159.22,245.03,176.25
42,1.401400,370,2,helmet,0.619865,180.63,151.64,204.67,169.04
42,1.401400,371,2,helmet,0.626869,291.12,143.24,311.94,163.78
42,1.401400,372,0,person,0.650742,294.91,154.91,334.00,312.04
42,1.401400,373,2,helmet,0.630808,269.47,148.70,290.59,164.75
42,1.401400,374,2,helmet,0.672313,297.55,154.30,319.23,169.38
42,1.401400,375,2,helmet,0.617273,107.67,167.99,124.13,181.26
42,1.401400,33,0,person,0.705476,258.71,148.17,305.02,318.19
42,1.401400,197,0,person,0.805216,203.42,158.91,267.50,319.91
42,1.401400,360,0,person,0.835547,173.85,151.45,221.02,326.55
42,1.401400,380,76,gloves,0.572374,306.96,222.62,319.58,232.74
43,1.434767,369,2,helmet,0.714416,222.63,159.60,244.91,176.91
43,1.434767,370,2,helmet,0.633725,180.43,152.07,204.50,169.64
43,1.434767,371,2,helmet,0.608516,291.42,143.81,312.03,164.12
43,1.434767,372,0,person,0.640880,294.70,155.24,333.69,312.79
43,1.434767,373,2,helmet,0.613152,270.01,149.04,290.99,164.98
43,1.434767,374,2,helmet,0.694803,297.22,154.63,319.38,169.94
43,1.434767,375,2,helmet,0.623589,107.52,168.10,123.89,181.25
43,1.434767,33,0,person,0.703286,258.24,148.52,304.90,318.65
43,1.434767,197,0,person,0.811700,203.54,159.28,266.92,320.45
43,1.434767,360,0,person,0.835568,173.45,151.91,220.76,327.20
43,1.434767,380,76,gloves,0.543355,306.64,223.23,319.21,233.28
44,1.468133,369,2,helmet,0.725884,222.64,160.09,244.62,177.13
44,1.468133,370,2,helmet,0.571628,180.35,152.63,203.92,169.94
44,1.468133,371,2,helmet,0.660526,291.81,144.27,312.32,164.40
44,1.468133,372,0,person,0.616038,294.75,155.74,333.38,312.45
44,1.468133,373,2,helmet,0.631601,270.75,149.42,291.03,164.77
44,1.468133,374,2,helmet,0.627593,297.09,155.06,319.58,170.56
44,1.468133,375,2,helmet,0.594287,107.23,168.50,123.87,181.77
44,1.468133,33,0,person,0.694059,258.94,148.93,305.67,319.07
44,1.468133,197,0,person,0.817454,203.52,159.78,266.27,320.97
44,1.468133,360,0,person,0.835248,173.15,152.46,220.43,327.68
44,1.468133,380,76,gloves,0.560280,306.19,223.36,319.34,233.92
45,1.501500,369,2,helmet,0.726971,222.19,160.69,243.87,177.34
45,1.501500,370,2,helmet,0.375043,179.98,153.08,203.68,170.62
45,1.501500,371,2,helmet,0.650811,292.48,144.78,312.33,164.12
45,1.501500,372,0,person,0.633179,294.79,156.09,333.15,312.47
45,1.501500,373,2,helmet,0.606027,271.44,150.16,290.73,164.60
45,1.501500,374,2,helmet,0.622010,296.77,155.54,319.63,171.24
45,1.501500,375,2,helmet,0.486177,106.74,168.75,123.29,181.92
45,1.501500,33,0,person,0.713944,258.98,149.84,305.81,319.73
45,1.501500,197,0,person,0.806744,203.44,160.33,265.55,321.44
45,1.501500,360,0,person,0.834540,172.83,152.85,220.21,328.19
45,1.501500,380,76,gloves,0.527068,305.97,223.32,319.84,234.59
46,1.534867,369,2,helmet,0.728879,221.95,161.25,243.26,177.38
46,1.534867,370,2,helmet,0.450571,180.17,153.87,203.05,170.86
46,1.534867,371,2,helmet,0.639564,292.46,145.16,312.61,164.69
